2021-05-20 08:50:00,596 | DEBUG | Slide: ./data/1.mp4
2021-05-20 08:52:50,056 | DEBUG | Init CLI
2021-05-20 08:52:50,065 | DEBUG | Load Files from command line: ['./data/1.jpg', './data/2.jpg', './data/1.mp4', './data/3.jpg']
2021-05-20 08:52:50,065 | DEBUG | Save config: None
2021-05-20 08:52:50,190 | DEBUG | Init SlideManager
2021-05-20 08:52:50,191 | DEBUG | Slide: ./data/1.jpg
2021-05-20 08:52:50,289 | DEBUG | added valid video/image file
2021-05-20 08:52:50,289 | DEBUG | Slide: ./data/2.jpg
2021-05-20 08:52:50,290 | DEBUG | added valid video/image file
2021-05-20 08:52:50,290 | DEBUG | Slide: ./data/1.mp4
2021-05-20 08:54:59,868 | DEBUG | Init CLI
2021-05-20 08:54:59,876 | DEBUG | Load Files from command line: ['./data/1.jpg', './data/2.jpg', './data/1.mp4', './data/3.jpg']
2021-05-20 08:54:59,876 | DEBUG | Save config: None
2021-05-20 08:54:59,977 | DEBUG | Init SlideManager
2021-05-20 08:54:59,977 | DEBUG | Slide: ./data/1.jpg
2021-05-20 08:54:59,978 | DEBUG | is a file >>>>> ./data/1.jpg
2021-05-20 08:54:59,995 | DEBUG | added valid video/image file
2021-05-20 08:54:59,996 | DEBUG | Slide: ./data/2.jpg
2021-05-20 08:54:59,996 | DEBUG | is a file >>>>> ./data/2.jpg
2021-05-20 08:54:59,996 | DEBUG | added valid video/image file
2021-05-20 08:54:59,996 | DEBUG | Slide: ./data/1.mp4
2021-05-20 08:54:59,996 | DEBUG | is a file >>>>> ./data/1.mp4
2021-05-20 08:59:43,629 | DEBUG | Init CLI
2021-05-20 08:59:43,637 | DEBUG | Load Files from command line: ['./data/1.jpg', './data/2.jpg', './data/1.mp4', './data/3.jpg']
2021-05-20 08:59:43,638 | DEBUG | Save config: None
2021-05-20 08:59:43,742 | DEBUG | Init SlideManager
2021-05-20 08:59:43,742 | DEBUG | Slide: ./data/1.jpg
2021-05-20 08:59:43,743 | DEBUG | is a file >>>>> ./data/1.jpg
2021-05-20 08:59:43,761 | DEBUG | added valid video/image file
2021-05-20 08:59:43,761 | DEBUG | Slide: ./data/2.jpg
2021-05-20 08:59:43,761 | DEBUG | is a file >>>>> ./data/2.jpg
2021-05-20 08:59:43,761 | DEBUG | added valid video/image file
2021-05-20 08:59:43,761 | DEBUG | Slide: ./data/1.mp4
2021-05-20 08:59:43,762 | DEBUG | is a file >>>>> ./data/1.mp4
2021-05-20 09:01:09,488 | DEBUG | Init CLI
2021-05-20 09:01:09,495 | DEBUG | Load Files from command line: ['./data/1.jpg', './data/2.jpg', './data/1.mp4', './data/3.jpg']
2021-05-20 09:01:09,496 | DEBUG | Save config: None
2021-05-20 09:01:09,593 | DEBUG | Init SlideManager
2021-05-20 09:01:09,593 | DEBUG | Slide: ./data/1.jpg
2021-05-20 09:01:09,593 | DEBUG | is a file >>>>> ./data/1.jpg
2021-05-20 09:01:09,608 | DEBUG | added valid video/image file
2021-05-20 09:01:09,608 | DEBUG | Slide: ./data/2.jpg
2021-05-20 09:01:09,608 | DEBUG | is a file >>>>> ./data/2.jpg
2021-05-20 09:01:09,608 | DEBUG | added valid video/image file
2021-05-20 09:01:09,609 | DEBUG | Slide: ./data/1.mp4
2021-05-20 09:01:09,609 | DEBUG | is a file >>>>> ./data/1.mp4
2021-05-20 09:02:20,601 | DEBUG | Init CLI
2021-05-20 09:02:20,609 | DEBUG | Load from file: f.json
2021-05-20 09:02:32,137 | DEBUG | Init CLI
2021-05-20 09:02:32,145 | DEBUG | Load from file: f.json
2021-05-20 09:04:03,761 | DEBUG | Init CLI
2021-05-20 09:04:03,769 | DEBUG | Load Files from command line: ['/home/anishmohan/Documents/Workspace/kburns-slideshow/data/1.jpg', '/home/anishmohan/Documents/Workspace/kburns-slideshow/data/2.jpg', '/home/anishmohan/Documents/Workspace/kburns-slideshow/data/3.jpg']
2021-05-20 09:04:03,769 | DEBUG | Save config: None
2021-05-20 09:04:03,871 | DEBUG | Init SlideManager
2021-05-20 09:04:03,871 | DEBUG | Slide: /home/anishmohan/Documents/Workspace/kburns-slideshow/data/1.jpg
2021-05-20 09:04:03,872 | DEBUG | is a file >>>>> /home/anishmohan/Documents/Workspace/kburns-slideshow/data/1.jpg
2021-05-20 09:04:03,886 | DEBUG | added valid video/image file
2021-05-20 09:04:03,887 | DEBUG | Slide: /home/anishmohan/Documents/Workspace/kburns-slideshow/data/2.jpg
2021-05-20 09:04:03,887 | DEBUG | is a file >>>>> /home/anishmohan/Documents/Workspace/kburns-slideshow/data/2.jpg
2021-05-20 09:04:03,887 | DEBUG | added valid video/image file
2021-05-20 09:04:03,887 | DEBUG | Slide: /home/anishmohan/Documents/Workspace/kburns-slideshow/data/3.jpg
2021-05-20 09:04:03,887 | DEBUG | is a file >>>>> /home/anishmohan/Documents/Workspace/kburns-slideshow/data/3.jpg
2021-05-20 09:04:03,940 | DEBUG | added valid video/image file
2021-05-20 09:04:03,940 | INFO | Create video out.mp4
